id,name,tets,fibered,num_field_max_deg,fund_max_deg,fund_any_nonmonic,fund_torsion_infos,alex_poly,alex_deg,alex_nonmonic,th_taut,taut_tri,Z2_wonky,in_S3,trace_field_deg
9,m006,3,-1,3.0,2.0,1.0,"[(0,2,0,2),(1,3,0,2)]",2*a^2+a+2,2,1,1,dLQacccjnjs_aBbB,0,0,3.0
10,m007,3,-1,3.0,2.0,1.0,"[(1,3,0,2)]",2*a^2-a+2,2,1,1,dLQbcccdxwb_Bbba,0,0,3.0
14,m015,3,-1,3.0,2.0,1.0,"[(1,3,0,2)]",2*a^2-3*a+2,2,1,1,dLQbcccdero_aBba,0,1,
16,m017,3,-1,3.0,2.0,1.0,"[(0,3,0,2),(1,3,0,2)]",2*a^2+3*a+2,2,1,1,dLQacccjsnb_Bbab,0,0,3.0
26,m029,4,-1,5.0,2.0,1.0,"[(1,5,0,2)]",3*a^2-a+3,2,1,1,eLAkbccddhhnxr_Baab,0,0,5.0
27,m030,4,-1,5.0,2.0,1.0,"[(0,3,0,2),(1,5,0,2)]",3*a^2+a+3,2,1,1,eLAkaccddnsjqj_Baab,0,0,5.0
28,m032,4,-1,4.0,2.0,1.0,"[(1,4,0,2)]",2*a^2-5*a+2,2,1,1,eLPkbcddddcwjb_Babb,0,1,
29,m033,4,-1,4.0,2.0,1.0,"[(0,3,0,2),(1,4,0,2)]",2*a^2+5*a+2,2,1,1,eLPkbcddddjknw_bBaB,0,0,4.0
31,m035,4,-1,6.0,2.0,1.0,"[(1,6,0,2)]",3*a^2-2*a+3,2,1,1,eLAkbccddhhnxk_BaBb,0,0,6.0
33,m037,4,-1,6.0,2.0,1.0,"[(0,2,0,2),(1,6,0,2)]",3*a^2+2*a+3,2,1,1,eLAkaccddjsjqj_Baab,0,0,6.0
37,m045,4,-1,6.0,2.0,1.0,"[(1,6,0,2)]",3*a^2-4*a+3,2,1,1,eLAkbccddmejlr_aBbB,0,0,6.0
38,m046,4,-1,6.0,2.0,1.0,"[(0,2,0,2),(0,2,0,2),(1,6,0,2)]",3*a^2+4*a+3,2,1,1,eLAkaccddjnjqw_BaBb,0,0,6.0
40,m053,4,-1,5.0,2.0,1.0,"[(1,5,0,2)]",3*a^2-5*a+3,2,1,1,eLAkbccddmejln_aBbB,0,1,
41,m054,4,-1,5.0,2.0,1.0,"[(0,5,0,2),(1,5,0,2)]",3*a^2+5*a+3,2,1,1,eLAkaccddnnjqw_aBBa,0,0,5.0
57,m137,4,-1,2.0,2.0,1.0,"[(1,2,0,2)]",1,0,0,1,eLPkbcdddlwnnv_aBbB,0,0,2.0
63,m148,4,-1,6.0,2.0,1.0,"[(1,6,0,2)]",2*a^2-2*a+2,2,1,1,eLPkbcddddrwjf_aBbB,0,0,6.0
64,m149,4,-1,6.0,2.0,1.0,"[(1,6,0,2)]",2*a^2+2*a+2,2,1,1,eLPkbcddddwwjs_aBba,0,0,6.0
90,m058,5,-1,6.0,2.0,1.0,"[(0,5,0,2),(1,6,0,2)]",2*a^2+7*a+2,2,1,1,fLLQcbcedeetsasud_abba,0,0,6.0
91,m059,5,-1,6.0,2.0,1.0,"[(1,6,0,2)]",2*a^2-7*a+2,2,1,1,fLLQcacdeeejkamkf_baBb,0,0,6.0
92,m061,5,-1,7.0,2.0,1.0,"[(0,3,0,2),(1,7,0,2)]",4*a^2+a+4,2,1,1,fLLQccceddehwhwws_aBBb,0,0,7.0
93,m062,5,-1,7.0,2.0,1.0,"[(1,7,0,2)]",4*a^2-a+4,2,1,1,fLAMcbccdeehhnxxj_BaBb,0,0,7.0
94,m066,5,-1,7.0,2.0,1.0,"[(0,5,0,2),(1,7,0,2)]",4*a^2+3*a+4,2,1,1,fLLQccceddehwxwwj_BaaB,0,0,7.0
95,m067,5,-1,7.0,2.0,1.0,"[(1,7,0,2)]",4*a^2-3*a+4,2,1,1,fLAMcbccdeehhnxhs_BabB,0,0,7.0
98,m073,5,-1,6.0,2.0,1.0,"[(0,6,0,2),(1,6,0,2)]",3*a^2+7*a+3,2,1,1,fLLQccecddephrwjn_aBba,0,0,6.0
99,m074,5,-1,6.0,2.0,1.0,"[(1,6,0,2)]",3*a^2-7*a+3,2,1,1,fLAMcbccdeemejdhn_aBBb,0,1,
